gene_id,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation,gene_id_clean
ENSMUSG00000048234.14,NA,9093.491087058295,2.4395645264277066,0.057758501300470576,42.23732388305288,0,0,UP,ENSMUSG00000048234
ENSMUSG00000026012.3,Cd28,1108.0473952361435,-5.603583070683188,0.146374560011942,-38.28249301125837,0,0,DOWN,ENSMUSG00000026012
ENSMUSG00000070034.14,NA,5811.548260561554,2.2400308925334143,0.05962733696730934,37.56717986183938,0,0,UP,ENSMUSG00000070034
ENSMUSG00000049866.13,NA,1720.1827926022183,-4.115885955507538,0.0879222547414537,-46.812788953272545,0,0,DOWN,ENSMUSG00000049866
ENSMUSG00000032487.9,Ptgs2,21393.731903522432,9.113047888858155,0.20833736372704367,43.74178364279271,0,0,UP,ENSMUSG00000032487
ENSMUSG00000026656.16,NA,24963.540228573536,3.022556683714282,0.051163566833278745,59.07634808893533,0,0,UP,ENSMUSG00000026656
ENSMUSG00000026548.5,Slamf9,4620.026865150347,3.064831601179368,0.07814550642234058,39.21955006107914,0,0,UP,ENSMUSG00000026548
ENSMUSG00000054203.8,Ifi205,23109.058360584237,4.728599585195321,0.11618366419991914,40.69934975590666,0,0,UP,ENSMUSG00000054203
ENSMUSG00000026773.20,NA,10050.104783619297,3.9891990823203316,0.09991618089706643,39.92545598224977,0,0,UP,ENSMUSG00000026773
ENSMUSG00000026981.16,NA,60468.891590902684,9.194463393191482,0.1180829023810261,77.86447663289206,0,0,UP,ENSMUSG00000026981
ENSMUSG00000036833.17,NA,1045.5987206369985,-3.3546305746341867,0.08358376202362068,-40.134955563332646,0,0,DOWN,ENSMUSG00000036833
ENSMUSG00000050737.14,NA,19882.405920704474,9.917991540606387,0.11132510393965207,89.09034161767147,0,0,UP,ENSMUSG00000050737
ENSMUSG00000076441.10,NA,12680.792146383108,4.619630817850415,0.09362247961630223,49.34317950969984,0,0,UP,ENSMUSG00000076441
ENSMUSG00000026822.15,NA,44733.545774718164,10.393242819281646,0.15549790610798814,66.83847441690877,0,0,UP,ENSMUSG00000026822
ENSMUSG00000026875.15,NA,7034.404699874116,5.432852863560206,0.08361372700690933,64.97560936508987,0,0,UP,ENSMUSG00000026875
ENSMUSG00000026827.13,NA,3981.431140845213,3.586920990721002,0.08270701282106924,43.36900667034186,0,0,UP,ENSMUSG00000026827
ENSMUSG00000032698.16,NA,2927.128325009989,-2.490921581106651,0.06003490379904751,-41.4912229966157,0,0,DOWN,ENSMUSG00000032698
ENSMUSG00000040084.10,NA,538.4291042564138,-4.545807417546255,0.1170777329072315,-38.82725864830507,0,0,DOWN,ENSMUSG00000040084
ENSMUSG00000027219.14,NA,12853.556287172038,4.489058423616645,0.09332768369586064,48.09996611772492,0,0,UP,ENSMUSG00000027219
ENSMUSG00000079071.3,Slc28a2b,3068.484483797759,4.558454785931906,0.08247371392835602,55.27160799247847,0,0,UP,ENSMUSG00000079071
ENSMUSG00000033213.17,NA,5312.064778651047,6.239108522971079,0.1285714457462141,48.52639314087199,0,0,UP,ENSMUSG00000033213
ENSMUSG00000027399.2,Il1a,7526.700815337998,10.028053933260823,0.2592491011357851,38.68115217884015,0,0,UP,ENSMUSG00000027399
ENSMUSG00000027398.14,NA,43216.81627437193,10.73081015315413,0.2484731428138297,43.18700215094984,0,0,UP,ENSMUSG00000027398
ENSMUSG00000003283.16,NA,23785.510964640547,3.8840996131877463,0.033980465717695384,114.3038958163865,0,0,UP,ENSMUSG00000003283
ENSMUSG00000027611.13,NA,9590.186290673613,4.3578295019089515,0.1013697268650369,42.98945687908326,0,0,UP,ENSMUSG00000027611
ENSMUSG00000017009.4,Sdc4,19607.44400021573,2.459036775327615,0.06404496350075736,38.395474693315045,0,0,UP,ENSMUSG00000017009
ENSMUSG00000017652.17,NA,11569.005010710322,5.875672993143964,0.11344780547923015,51.791861185183286,0,0,UP,ENSMUSG00000017652
ENSMUSG00000027514.15,NA,9440.443532717029,3.1173116546995967,0.07615327432633046,40.93470283813873,0,0,UP,ENSMUSG00000027514
ENSMUSG00000027555.9,Car13,6209.1627853430555,3.1578660377513885,0.06582131414053254,47.97634442559368,0,0,UP,ENSMUSG00000027555
ENSMUSG00000003617.17,NA,5003.835307190124,7.318628767253813,0.12004596916774452,60.96521872406421,0,0,UP,ENSMUSG00000003617
ENSMUSG00000027715.10,NA,974.5645655644446,-4.906667605065661,0.10050066655353221,-48.82223942715941,0,0,DOWN,ENSMUSG00000027715
ENSMUSG00000056498.14,NA,1169.39119665194,-5.419371786810471,0.10160653387852385,-53.33684340900385,0,0,DOWN,ENSMUSG00000056498
ENSMUSG00000046722.15,NA,9312.114218980576,1.42152062076276,0.03426403541318832,41.487250512693926,0,0,UP,ENSMUSG00000046722
ENSMUSG00000015947.11,NA,50644.50521267175,3.2895248795541514,0.06762179154986153,48.645929132602035,0,0,UP,ENSMUSG00000015947
ENSMUSG00000028268.15,NA,8159.791989065321,4.996395017140927,0.10624031971536832,47.029179039812014,0,0,UP,ENSMUSG00000028268
ENSMUSG00000028270.13,NA,33304.49302765914,5.642978156088743,0.09281363342292251,60.79902216924822,0,0,UP,ENSMUSG00000028270
ENSMUSG00000011008.14,NA,7404.755470791124,3.473070632745798,0.08355409598977363,41.56673100946331,0,0,UP,ENSMUSG00000011008
ENSMUSG00000041058.16,NA,4852.063537053742,-4.297887256167039,0.11413328705220893,-37.65673772456076,0,0,DOWN,ENSMUSG00000041058
ENSMUSG00000039693.12,NA,614.6749205335503,4.3262999169587175,0.11394989878077033,37.96668503657157,0,0,UP,ENSMUSG00000039693
ENSMUSG00000066152.12,NA,5968.360346065207,2.773256029169145,0.06380120900023965,43.46713914400475,0,0,UP,ENSMUSG00000066152
ENSMUSG00000066150.13,NA,15772.803599413042,2.423652173500887,0.061103536989023384,39.664678886531085,0,0,UP,ENSMUSG00000066150
ENSMUSG00000028678.14,NA,317.0165916467445,-5.098482902516412,0.13581302689678582,-37.540455573463646,0,0,DOWN,ENSMUSG00000028678
ENSMUSG00000028645.12,NA,19908.7508933275,3.780520115811983,0.094507622266629,40.00227733109416,0,0,UP,ENSMUSG00000028645
ENSMUSG00000047945.7,Marcksl1,30671.419720736456,4.064668303962024,0.09518928920921287,42.70089983578348,0,0,UP,ENSMUSG00000047945
ENSMUSG00000037752.5,Xkr8,1338.6056221225822,3.15711273162863,0.06443427440659369,48.99741264573868,0,0,UP,ENSMUSG00000037752
ENSMUSG00000040659.4,Efhd2,28802.807269985133,1.7641818174382464,0.0423572633434564,41.65004247638174,0,0,UP,ENSMUSG00000040659
ENSMUSG00000028583.15,NA,1579.798435395778,5.187091513464967,0.13106600963453985,39.57617637042954,0,0,UP,ENSMUSG00000028583
ENSMUSG00000029007.9,Agtrap,4136.9991229379075,1.9901913165384302,0.05068776711215905,39.26374014729523,0,0,UP,ENSMUSG00000029007
ENSMUSG00000035692.8,Isg15,23988.6647654301,4.541914417615201,0.1086480263954234,41.80392933310127,0,0,UP,ENSMUSG00000035692
ENSMUSG00000005103.13,NA,21543.240768875177,1.5728391881489856,0.040475803915446,38.858751056177866,0,0,UP,ENSMUSG00000005103
ENSMUSG00000029082.18,NA,12786.386920413917,3.4164922602457932,0.08200285434875236,41.66308950314939,0,0,UP,ENSMUSG00000029082
ENSMUSG00000029084.6,Cd38,4433.313310755245,6.893817710870719,0.13015583453063306,52.96587537340258,0,0,UP,ENSMUSG00000029084
ENSMUSG00000058427.11,NA,8585.478890540027,7.067189024146425,0.17070077256490984,41.40103713625016,0,0,UP,ENSMUSG00000058427
ENSMUSG00000041827.16,NA,12770.792484621505,5.293935535004028,0.12819244080447398,41.296783974014694,0,0,UP,ENSMUSG00000041827
ENSMUSG00000049327.18,NA,3404.860400979315,1.936229504253805,0.04925960515500473,39.306638739005116,0,0,UP,ENSMUSG00000049327
ENSMUSG00000037411.12,NA,16117.5326821036,9.259293099157377,0.17624972673927583,52.535077758472454,0,0,UP,ENSMUSG00000037411
ENSMUSG00000039206.14,NA,1020.4703603217347,-2.860651632995989,0.07467269106527837,-38.309207719529304,0,0,DOWN,ENSMUSG00000039206
ENSMUSG00000029650.11,NA,372.27166716054234,-5.436662752986671,0.13877595608445256,-39.175826320217695,0,0,DOWN,ENSMUSG00000029650
ENSMUSG00000029534.18,NA,945.7314001447669,3.597229676157694,0.07411446135605848,48.536137352142255,0,0,UP,ENSMUSG00000029534
ENSMUSG00000043421.9,Hilpda,3284.1356815205254,5.0130650869985525,0.12981700642439972,38.616397227723496,0,0,UP,ENSMUSG00000043421
ENSMUSG00000044162.13,NA,17820.221892255504,4.316344712542709,0.08322385264313281,51.86427418893195,0,0,UP,ENSMUSG00000044162
ENSMUSG00000056091.13,NA,7479.13856504083,2.0604202035628356,0.05187879992253762,39.71603442329688,0,0,UP,ENSMUSG00000056091
ENSMUSG00000060477.15,NA,5224.806045199793,2.6109356283804313,0.059122952481331495,44.16111710938071,0,0,UP,ENSMUSG00000060477
ENSMUSG00000030142.11,NA,100424.24063468612,5.7654359911026996,0.08196284683778784,70.34206611335789,0,0,UP,ENSMUSG00000030142
ENSMUSG00000038252.14,NA,813.1108550046813,-4.365500937454527,0.11201185689947955,-38.97356099874469,0,0,DOWN,ENSMUSG00000038252
ENSMUSG00000030156.6,Cd69,6019.683548021211,5.025805348395718,0.13304396323118625,37.77552341598947,0,0,UP,ENSMUSG00000030156
ENSMUSG00000030263.14,NA,1195.3926841730286,-2.7463619872810616,0.060900700537457296,-45.09573720899807,0,0,DOWN,ENSMUSG00000030263
ENSMUSG00000053338.10,NA,3187.885629308537,6.616842637745618,0.155863524283954,42.45279752362699,0,0,UP,ENSMUSG00000053338
ENSMUSG00000058818.14,NA,50972.623205537064,1.5833571202727688,0.03300153819293014,47.97828243690679,0,0,UP,ENSMUSG00000058818
ENSMUSG00000030403.10,NA,13821.522658479307,2.741865621999386,0.06795483894327105,40.348349942942335,0,0,UP,ENSMUSG00000030403
ENSMUSG00000040026.9,Saa3,828381.0599726281,11.345201020527208,0.15954665377390306,71.10898757303134,0,0,UP,ENSMUSG00000040026
ENSMUSG00000025790.15,NA,3834.2617801788756,5.826001764747173,0.11499493019956102,50.66311840562701,0,0,UP,ENSMUSG00000025790
ENSMUSG00000039236.19,NA,3731.728996375339,4.828646937302062,0.12568187193982122,38.41959753443286,0,0,UP,ENSMUSG00000039236
ENSMUSG00000038943.17,NA,875.2196421798693,-4.332070921173885,0.11340244962590237,-38.20085840706911,0,0,DOWN,ENSMUSG00000038943
ENSMUSG00000046027.18,NA,2780.03644631374,2.2157403962211,0.045808449064547944,48.36968815728592,0,0,UP,ENSMUSG00000046027
ENSMUSG00000030560.18,NA,52676.678518434266,2.7578859285611936,0.06244562133601581,44.16460064863779,0,0,UP,ENSMUSG00000030560
ENSMUSG00000030737.18,NA,464.585123657597,-7.323046708553552,0.1943800396798319,-37.6738615786658,0,0,DOWN,ENSMUSG00000030737
ENSMUSG00000035004.4,Igsf6,11705.717219551547,3.1097048454330936,0.08211039855379747,37.872241521220516,0,0,UP,ENSMUSG00000035004
ENSMUSG00000030867.8,Plk1,393.9105064133502,-4.798967873773294,0.12625479916963403,-38.01018183336915,0,0,DOWN,ENSMUSG00000030867
ENSMUSG00000025498.16,NA,53225.269537725,3.726478038013007,0.08039464775525926,46.35231501178172,0,0,UP,ENSMUSG00000025498
ENSMUSG00000058454.16,NA,889.5011735771062,-3.2866773193746384,0.0854689636786935,-38.454629352127874,0,0,DOWN,ENSMUSG00000058454
ENSMUSG00000031444.17,NA,1208.9541866767288,5.488837594135447,0.12256811176898352,44.78193809888181,0,0,UP,ENSMUSG00000031444
ENSMUSG00000031451.7,Gas6,10138.96827274203,-3.5464944029372676,0.07147022048724296,-49.62198771403395,0,0,DOWN,ENSMUSG00000031451
ENSMUSG00000039470.17,NA,807.3193751069416,3.919798745535926,0.09814466254299174,39.93899050617123,0,0,UP,ENSMUSG00000039470
ENSMUSG00000031596.16,NA,3392.103410566631,8.40342405761098,0.16333909659714632,51.447719698957826,0,0,UP,ENSMUSG00000031596
ENSMUSG00000018796.14,NA,10776.076352729655,4.16630214211362,0.08634655684526199,48.250935466713216,0,0,UP,ENSMUSG00000018796
ENSMUSG00000025591.7,Tma16,7742.540230464953,6.272188936817142,0.11055938239431744,56.73140353160585,0,0,UP,ENSMUSG00000025591
ENSMUSG00000049988.6,Lrrc25,16283.339454309158,2.5104094636012215,0.06367970613950616,39.42244108510093,0,0,UP,ENSMUSG00000049988
ENSMUSG00000005413.9,Hmox1,321388.23477902706,4.9311929146395945,0.10330938710100662,47.7322831256207,0,0,UP,ENSMUSG00000005413
ENSMUSG00000031722.11,NA,13641.198485864365,9.247444600645398,0.14579374497008724,63.428267121766524,0,0,UP,ENSMUSG00000031722
ENSMUSG00000012519.15,NA,4311.491508521508,2.8547702237088557,0.05016808270954673,56.904112525823265,0,0,UP,ENSMUSG00000012519
ENSMUSG00000025888.7,Casp1,10747.66599729061,2.8859258910864014,0.06599727369554564,43.72795616375864,0,0,UP,ENSMUSG00000025888
ENSMUSG00000033538.14,NA,3305.4784423384194,3.6941906720230837,0.07952097854901755,46.455548453116016,0,0,UP,ENSMUSG00000033538
ENSMUSG00000050578.11,NA,32520.465784035718,7.790308765439722,0.11041456464145917,70.55508293436287,0,0,UP,ENSMUSG00000050578
ENSMUSG00000037405.9,Icam1,18640.470748811153,2.947205259134126,0.06052265655788797,48.6959004569672,0,0,UP,ENSMUSG00000037405
ENSMUSG00000036777.9,Anln,586.2831965461559,-5.522088788731553,0.1315725998796774,-41.969899460689234,0,0,DOWN,ENSMUSG00000036777
ENSMUSG00000032254.11,NA,458.7812115479457,-4.727006651555478,0.10527844619076068,-44.900041961013706,0,0,DOWN,ENSMUSG00000032254
ENSMUSG00000049624.15,NA,1296.757253170364,-2.2637055819278142,0.0528947071508554,-42.79644795975028,0,0,DOWN,ENSMUSG00000049624
ENSMUSG00000032786.17,NA,14759.236305771392,3.0253737669386473,0.0603719553457364,50.11223753832425,0,0,UP,ENSMUSG00000032786
ENSMUSG00000019850.12,NA,10551.722169706129,4.735575369127857,0.09085964358704746,52.11967802395099,0,0,UP,ENSMUSG00000019850
ENSMUSG00000039031.17,NA,2054.3110376966943,-4.133556159191466,0.09573763926839746,-43.175873050338865,0,0,DOWN,ENSMUSG00000039031
ENSMUSG00000019823.18,NA,845.3501172393727,-3.485293503698455,0.08519404127334292,-40.9100619198939,0,0,DOWN,ENSMUSG00000019823
ENSMUSG00000038332.14,NA,2378.7897304294693,-4.3589747833710275,0.08804788083671147,-49.50686764914798,0,0,DOWN,ENSMUSG00000038332
ENSMUSG00000046687.7,Gm5424,6307.338713221959,4.6288711643512785,0.10116800806398091,45.75429775610366,0,0,UP,ENSMUSG00000046687
ENSMUSG00000020057.3,Dram1,5200.141745151872,2.7331585668781195,0.05827518401589219,46.9008998089609,0,0,UP,ENSMUSG00000020057
