gene_id,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation,gene_id_clean
ENSMUSG00000020826.10,NA,24104.52636928401,3.6820318254561775,0.14411102148190166,25.54996687688172,5.495317000909174e-144,8.982645169686137e-140,UP,ENSMUSG00000020826
ENSMUSG00000037411.12,NA,16117.5326821036,2.890413210289892,0.13003928847939533,22.227230278546752,1.873425893752011e-109,1.5311509829635185e-105,UP,ENSMUSG00000037411
ENSMUSG00000029449.12,NA,625.5911544672983,1.1066296588367497,0.06940255872485093,15.945084434480648,3.08223284212435e-57,1.6794059345788209e-53,UP,ENSMUSG00000029449
ENSMUSG00000121137.2,Gm56555,1471.3861752439097,1.0651200248938364,0.06941672499796284,15.343853011289344,3.893808504501451e-53,1.591204845364518e-49,UP,ENSMUSG00000121137
ENSMUSG00000078780.8,Gm5150,503.57550226759423,-1.2973438401445005,0.08493227168909216,-15.275039915258951,1.1215933448676617e-52,3.6667129630413595e-49,DOWN,ENSMUSG00000078780
ENSMUSG00000026797.17,NA,1545.8178747349612,1.0924810014435429,0.07424570081526455,14.714400826545019,5.2105697412331815e-49,1.4195328831699598e-45,UP,ENSMUSG00000026797
ENSMUSG00000026833.19,NA,1597.2944027220813,1.1263113911522038,0.08077503187286149,13.943806211367376,3.431415182184119e-44,8.012844652568802e-41,UP,ENSMUSG00000026833
ENSMUSG00000037012.19,NA,10069.134722046098,1.0463581178982733,0.07584044204594287,13.796835694396494,2.6628704399583456e-43,5.44091002644489e-40,UP,ENSMUSG00000037012
ENSMUSG00000025151.17,NA,3418.0319653842644,0.673181366367434,0.04918516355971011,13.686675364008927,1.2196325897837432e-42,2.215123812511674e-39,UP,ENSMUSG00000025151
ENSMUSG00000090877.4,Hspa1b,6383.382138810836,1.975068993434787,0.14505478030429722,13.616021404406455,3.216175684743903e-42,5.257160774282384e-39,UP,ENSMUSG00000090877
ENSMUSG00000005125.14,NA,3719.008870987512,1.140183394466332,0.08457375647110887,13.481527155008521,2.0090491342557688e-41,2.9854470135040724e-38,UP,ENSMUSG00000005125
ENSMUSG00000032487.9,Ptgs2,21393.731903522432,2.3397221973026134,0.1758108632952714,13.308177625935942,2.074808958432731e-40,2.8262356028784516e-37,UP,ENSMUSG00000032487
ENSMUSG00000091971.4,Hspa1a,8074.88448061835,1.9398458059179393,0.14597179789756615,13.289182115021982,2.674859782461731e-40,3.36332753877842e-37,UP,ENSMUSG00000091971
ENSMUSG00000024013.16,NA,494.8388817301603,-1.3825218477739893,0.10498927674087917,-13.168219561947733,1.3371382100601496e-39,1.561204370117372e-36,DOWN,ENSMUSG00000024013
ENSMUSG00000025025.15,NA,1680.9473676163427,1.0598417609728437,0.08058364040224313,13.152071011963638,1.6557635007633493e-39,1.8043406788985137e-36,UP,ENSMUSG00000025025
ENSMUSG00000074677.12,NA,2329.2215104369766,-1.1162028215915423,0.08550923036885304,-13.053594527475973,6.061842097773933e-39,6.082930039509716e-36,DOWN,ENSMUSG00000074677
ENSMUSG00000047592.18,NA,1501.67775472327,-1.5246908708426534,0.1168314908695675,-13.050341645856784,6.326306782801001e-39,6.082930039509716e-36,DOWN,ENSMUSG00000047592
ENSMUSG00000106874.4,Gm20186,3094.3628322277495,1.1038780614239245,0.08562501471926028,12.892004340591617,4.992906156881633e-38,4.534113557799287e-35,UP,ENSMUSG00000106874
ENSMUSG00000043157.9,Arl11,2399.06143913261,-0.7263655106246101,0.05642527527076679,-12.873052140889257,6.38291137960025e-38,5.491319442681351e-35,DOWN,ENSMUSG00000043157
ENSMUSG00000140105.1,ENSMUSG00000140105,1257.740381885824,1.219094184992702,0.09507423843773696,12.822550093746719,1.2260088295220795e-37,1.0020170163683956e-34,UP,ENSMUSG00000140105
ENSMUSG00000134796.1,ENSMUSG00000134796,703.4053466931572,1.213785438872923,0.09498636771877009,12.77852251879581,2.161363706457978e-37,1.6823643402743862e-34,UP,ENSMUSG00000134796
ENSMUSG00000052397.9,Ezr,5827.417415307311,1.0098173587876909,0.08049221883257762,12.54552767253308,4.206032161210181e-36,3.1250818957791645e-33,UP,ENSMUSG00000052397
ENSMUSG00000068923.15,NA,796.3327671493795,0.8924694349484418,0.07132165599447436,12.513302201193783,6.314358976344431e-36,4.487587470753307e-33,UP,ENSMUSG00000068923
ENSMUSG00000038963.16,NA,640.58170619147,1.3919842758634178,0.11185317438236213,12.444745386528043,1.493599017133506e-35,1.0172653972526789e-32,UP,ENSMUSG00000038963
ENSMUSG00000064037.14,NA,590.413672179309,-1.1624030159369472,0.09350553344824948,-12.43138211259206,1.7655510177466926e-35,1.1543878774434976e-32,DOWN,ENSMUSG00000064037
ENSMUSG00000015314.11,NA,223.85901394282925,-1.09608516183534,0.08837898805018339,-12.402101291462632,2.5455933237838546e-35,1.6003949411758034e-32,DOWN,ENSMUSG00000015314
