gene_symbol,gene_id,gene_id_clean,gene_type,baseMean,log2FoldChange,padj,regulation,abs_log2FC,rank_score
Igfbp4,ENSMUSG00000017493.13,ENSMUSG00000017493,protein_coding,3944.127039123059,-1.102840066759723,4.272548720211001e-43,DOWN,1.102840066759723,46.726575951329366
Npepl1,ENSMUSG00000039263.17,ENSMUSG00000039263,protein_coding,1047.209357527633,-1.035676971555452,8.40138495891274e-41,DOWN,1.035676971555452,41.50542690862179
Plpbp,ENSMUSG00000031485.16,ENSMUSG00000031485,protein_coding,1487.814681960473,-0.6575688257883026,1.037582558604333e-37,DOWN,0.6575688257883026,24.319510550603262
Nxpe5,ENSMUSG00000047592.18,ENSMUSG00000047592,protein_coding,1501.67775472327,-1.4747622640530955,5.077932089996622e-34,DOWN,1.4747622640530955,49.101196584385605
Lrpprc,ENSMUSG00000024120.13,ENSMUSG00000024120,protein_coding,977.3544759612914,-0.8558093004217077,6.237265813138892e-33,DOWN,0.8558093004217077,27.56134343863594
Mcm5,ENSMUSG00000005410.7,ENSMUSG00000005410,protein_coding,1487.7776874449237,-1.6398704670756885,7.960824652918126e-33,DOWN,1.6398704670756885,52.63827090186795
Gpn1,ENSMUSG00000064037.14,ENSMUSG00000064037,protein_coding,590.413672179309,-1.214685171718305,2.680080820137402e-30,DOWN,1.214685171718305,35.920490257353734
Fgd2,ENSMUSG00000024013.16,ENSMUSG00000024013,protein_coding,494.8388817301603,-1.3668416333498878,7.16093946819777e-29,DOWN,1.3668416333498878,38.46979877229011
Sesn1,ENSMUSG00000038332.14,ENSMUSG00000038332,protein_coding,2378.7897304294693,-0.9825741335606742,3.4156415974421166e-28,DOWN,0.9825741335606742,26.987899662664265
Cibar1,ENSMUSG00000028218.20,ENSMUSG00000028218,protein_coding,283.55668130671,-1.1678591412414392,4.325363200159499e-26,DOWN,1.1678591412414392,29.62155288704328
Ankrd46,ENSMUSG00000048307.9,ENSMUSG00000048307,protein_coding,793.3234900725934,-0.8282722824443705,9.826629795222458e-26,DOWN,0.8282722824443705,20.71309812461738
Wdr77,ENSMUSG00000000561.15,ENSMUSG00000000561,protein_coding,313.47680507448445,-1.2655599345563966,2.147381283160186e-25,DOWN,1.2655599345563966,31.21894742476592
Lfng,ENSMUSG00000029570.6,ENSMUSG00000029570,protein_coding,1787.266753442177,-0.6626092806843736,3.2767833013426156e-24,DOWN,0.6626092806843736,15.561082292267123
Tm7sf3,ENSMUSG00000040234.17,ENSMUSG00000040234,protein_coding,1265.8135781992437,-0.500143142787511,1.0821812541202342e-23,DOWN,0.500143142787511,11.486137370975271
Tmem268,ENSMUSG00000045917.18,ENSMUSG00000045917,protein_coding,1399.5338752948787,-0.7214300798660871,4.847891571672201e-22,DOWN,0.7214300798660871,15.376883275240198
Retsat,ENSMUSG00000056666.14,ENSMUSG00000056666,protein_coding,691.3835710640316,-0.6747859308550835,8.329849040122635e-22,DOWN,0.6747859308550835,14.224057495483184
Srsf1,ENSMUSG00000018379.18,ENSMUSG00000018379,protein_coding,2883.122812807499,-1.2546933705267695,2.5770836045177108e-21,DOWN,1.2546933705267695,25.83272056769773
Isoc1,ENSMUSG00000024601.10,ENSMUSG00000024601,protein_coding,2705.985146279439,-0.6764939047534615,2.98523745131209e-21,DOWN,0.6764939047534615,13.885051681651229
Ikbke,ENSMUSG00000042349.14,ENSMUSG00000042349,protein_coding,6716.568232594179,-0.6632022921226318,4.7461424063434456e-21,DOWN,0.6632022921226318,13.478697389017123
Pnpla7,ENSMUSG00000036833.17,ENSMUSG00000036833,protein_coding,1045.5987206369985,-0.8446132552508971,1.0880252293587403e-20,DOWN,0.8446132552508971,16.861319348683203
Pak1,ENSMUSG00000030774.14,ENSMUSG00000030774,protein_coding,926.8489676835306,-0.6382699452790774,1.0880252293587403e-20,DOWN,0.6382699452790774,12.742013354763351
Ddhd2,ENSMUSG00000061313.11,ENSMUSG00000061313,protein_coding,634.3804480260005,-0.7905674994129132,2.0874257509116257e-20,DOWN,0.7905674994129132,15.5586758901817
